,jop_title,company_name,location,type,links
69,Senior Java Developer,egabi solutions -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/JnFcJYrdgNyV-Senior-Java-Developer-egabi-solutions-Cairo-Egypt?o=70&l=sp&t=sj&a=data%20science|search-v3|hpb
70,Senior Systems Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/5QUEz5pPhQLH-Senior-Systems-Engineer-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=71&l=sp&t=sj&a=data%20science|search-v3|hpb
71,Data Platform & Data Integration Admin,Worex -,"Riyadh, Saudi Arabia ",Full Time,https://wuzzuf.net/jobs/p/3b3NczqGAHsn-Data-Platform-Data-Integration-Admin-Worex-Riyadh-Saudi-Arabia?o=72&l=sp&t=sj&a=data%20science|search-v3|hpb
72,Data Analyst,INSITE OOH -,"Zamalek, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/FBpizNd0T9sS-Data-Analyst-INSITE-OOH-Cairo-Egypt?o=73&l=sp&t=sj&a=data%20science|search-v3|hpb
73,Senior Database /BI Developer,Caelum Egypt -,"Dokki, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/1ijkA5WnaCY9-Senior-Database-BI-Developer-Caelum-Egypt-Giza-Egypt?o=74&l=sp&t=sj&a=data%20science|search-v3|hpb
74,System Administrator,Arabiat -,"Mohandessin, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/KwBD9nLtgZ4Q-System-Administrator-Arabiat-Giza-Egypt?o=75&l=sp&t=sj&a=data%20science|search-v3|hpb
75,Senior Products Manager,almentor -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/y9Oj9HvihQWi-Senior-Products-Manager-almentor-Cairo-Egypt?o=76&l=sp&t=sj&a=data%20science|search-v3|hpb
76,React Native Developer,Yeshtery -,"Rehab City, Cairo, Egypt ",Full TimePart TimeWork From Home,https://wuzzuf.net/jobs/p/QwnkbCDddcTm-React-Native-Developer-Yeshtery-Cairo-Egypt?o=77&l=sp&t=sj&a=data%20science|search-v3|hpb
77,Associate Product Manager,Atomica -,"Cairo, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/HbO3m4TW5hoY-Associate-Product-Manager-Atomica-Cairo-Egypt?o=78&l=sp&t=sj&a=data%20science|search-v3|hpb
78,Senior Embedded Software Instructor,Confidential -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/vuwDjfZ6U0QO-Senior-Embedded-Software-Instructor-Cairo-Egypt?o=79&l=sp&t=sj&a=data%20science|search-v3|hpb
79,Sales Force Admin,Mantrac -,"10th of Ramadan City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/OWNOXZT0mWqE-Sales-Force-Admin-Mantrac-Cairo-Egypt?o=80&l=sp&t=sj&a=data%20science|search-v3|hpb
80,System Administrator,Nasps -,"New Capital, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/WfmTiefwctK8-System-Administrator-Nasps-Cairo-Egypt?o=81&l=sp&t=sj&a=data%20science|search-v3|hpb
