,Model,Year,Show_Room,Mileage,Specs,Price
158,Toyota 86 GTX,2016,Dubai Free Zone,"78,000 KM",   Manual   Black   2.00 Lt.   4 Cylinder   TurboCharged   Black,"61,984 USD"
159,Peugeot 3008 GT Line,2021,Dubai Free Zone,"14,000 KM",   Automatic   Orange   2.00 Lt.   4 Cylinder   Naturally Aspirated   Black,"15,152 USD"
160,Mazda 3 GTX,2019,Dubai Free Zone,"58,000 KM",   Automatic   Black   2.00 Lt.   4 Cylinder   Naturally Aspirated   Red,"38,568 USD"
161,Chevrolet Silverado LT Z71 Trail Boss,2021,Sana Signal,30 KM,   Automatic   blue   5.30 Lt.   8 Cylinder   Naturally Aspirated   beige,"39,945 USD"
162,Chevrolet Silverado LT Z71 Trail Boss,2021,Sana Signal,0 KM,   Automatic   red   5.30 Lt.   8 Cylinder   Naturally Aspirated   black,"82,370 USD"
163,Chevrolet Silverado Trailboss Z71,2021,West Bay,0 KM,   Automatic   Dark Blue   5.30 Lt.   8 Cylinder   Naturally Aspirated   Biege,"6,199 USD"
164,Mercedes Benz GLE43 AMG,2019,Crazy Signal,"82,000 KM",   Automatic   Blue   3.00 Lt.   6 Cylinder   TurboCharged   Brown,"6,199 USD"
165,Dodge Ram 1500 Laramie,2020,Mawater City,"22,000 KM",   Automatic   Gray   5.70 Lt.   8 Cylinder   Naturally Aspirated   Beige,"38,293 USD"
166,Geely Coolray 1.5 Sport Plus,2022,Sana Signal,50 KM,   Automatic   white   1.50 Lt.   3 Cylinder   TurboCharged   black,"52,067 USD"
167,Mitsubishi Pajero 3.0 Gold Edition Mid Options,2022,Sana Signal,50 KM,   Automatic   white   3.00 Lt.   6 Cylinder   Naturally Aspirated   beige,"21,213 USD"
168,Hyundai Sonata Comfort 2.5,2021,Mawater City,"1,000 KM",   Automatic   White   2.50 Lt.   4 Cylinder   Naturally Aspirated   Beige,"52,067 USD"
169,Ford Raptor,2020,Mawater City,"4,000 KM",   Automatic   Maroon   3.50 Lt.   6 Cylinder   TurboCharged   Black,"6,199 USD"
170,Nissan Patrol XE,2017,Mawater City,"155,000 KM",   Automatic   White   4.00 Lt.   6 Cylinder   Naturally Aspirated   Black,"17,907 USD"
171,BMW 440i M Sport,2018,Dubai Free Zone,"83,000 KM",   Automatic   Blue   3.00 Lt.   6 Cylinder   TurboCharged   Red,"52,067 USD"
172,Ford Ranger Raptor,2022,Dubai Free Zone,0 KM,   Automatic   Blue   2.00 Lt.   4 Cylinder   TurboCharged   Black,"52,067 USD"
173,Mazda 6,2020,Dubai Free Zone,"67,000 KM",   Automatic   White   2.50 Lt.   4 Cylinder   Naturally Aspirated   Beige,"52,067 USD"
174,Audi S3,2020,Dubai Free Zone,"33,000 KM",   Automatic   Gray   2.00 Lt.   4 Cylinder   TurboCharged   Red,"31,405 USD"
